question,response_embeddings,response_tf_idf,question,expected_keywords,type,response_expected,precision_tf_idf,recall_tf_idf,cosine_sim_tf_idf,exact_match_tf_idf,precision_embeddings,recall_embeddings,cosine_sim_embeddings,exact_match_embeddings
¿En qué año fue fundada HistoriaCard?,"HistoriaCard fue fundada en 2018. 
","HistoriaCard fue fundada en 2018. 
",¿En qué año fue fundada HistoriaCard?,"2018, fundada en 2018",simple,HistoriaCard fue fundada en 2018.,0.16666666666666666,0.5,0.9999999999999999,1.0,0.16666666666666666,0.5,0.9999999999999999,1.0
¿Cuál es el monto mínimo y máximo de los préstamos personales de HistoriaCard?,"El monto mínimo de los préstamos personales de HistoriaCard es de $10,000 MXN y el monto máximo es de $100,000 MXN. 
","El monto mínimo de los préstamos personales de HistoriaCard es de $10,000 MXN y el máximo es de $100,000 MXN. 
",¿Cuál es el monto mínimo y máximo de los préstamos personales de HistoriaCard?,"$10,000, $100,000 MXN",simple,"Los préstamos personales van desde $10,000 hasta $100,000 MXN.",0.0,0.0,0.33350277901236325,0.0,0.0,0.0,0.3199146666919741,0.0
¿Qué porcentaje de interés anual ofrece la tarjeta de débito HistoriaCard sobre el saldo promedio mensual?,"La tarjeta de débito HistoriaCard ofrece hasta 4% de interés anual sobre el saldo promedio mensual. 
","Hasta 4% de interés anual sobre saldo promedio mensual. 
",¿Qué porcentaje de interés anual ofrece la tarjeta de débito HistoriaCard sobre el saldo promedio mensual?,"4%, interés anual, saldo promedio",simple,La tarjeta de débito HistoriaCard ofrece hasta un 4% de interés anual sobre el saldo promedio mensual.,0.0,0.0,0.6386053456078566,0.0,0.0,0.0,0.9465199391421726,0.0
¿Qué idiomas están disponibles en las opciones de la app HistoriaCard?,"Español e inglés. 
","Según el contexto proporcionado, la app HistoriaCard está disponible en **español e inglés**. 
",¿Qué idiomas están disponibles en las opciones de la app HistoriaCard?,"español, inglés",simple,La app HistoriaCard está disponible en español e inglés.,0.125,1.0,0.7092972666062739,0.0,0.5,1.0,0.379978361591008,0.0
¿Qué sistemas de seguridad utiliza HistoriaCard para proteger a sus usuarios?,"HistoriaCard utiliza cifrado de extremo a extremo, autenticación biométrica, sistemas de detección de fraudes con IA, alertas de seguridad en tiempo real y actualizaciones constantes de seguridad para proteger a sus usuarios. 
","No puedo responder completamente a esta pregunta. 
",¿Qué sistemas de seguridad utiliza HistoriaCard para proteger a sus usuarios?,"cifrado de extremo a extremo, autenticación biométrica, detección de fraudes con IA",simple,"HistoriaCard utiliza cifrado de extremo a extremo, autenticación biométrica y sistemas de detección de fraudes con IA para proteger a sus usuarios.",0.0,0.0,0.0,0.0,0.0,0.0,0.8017033497936474,0.0
¿Cuál es la tasa de interés anual de la tarjeta de crédito HistoriaCard?,"La tasa de interés anual de la tarjeta de crédito HistoriaCard es del 24% al 36%. 
","La tasa de interés anual de la tarjeta de crédito HistoriaCard es del 24% al 36%. 
",¿Cuál es la tasa de interés anual de la tarjeta de crédito HistoriaCard?,"24%, 36%, tasa de interés anual",simple,La tasa de interés anual de la tarjeta de crédito HistoriaCard es del 24% al 36%.,0.0,0.0,1.0000000000000002,1.0,0.0,0.0,1.0000000000000002,1.0
¿Qué beneficios adicionales ofrece la tarjeta de crédito HistoriaCard?,"Los beneficios adicionales que ofrece la tarjeta de crédito HistoriaCard son: programa de recompensas, seguro de protección de compras, promociones exclusivas y asistencia en viajes. 
","La tarjeta de crédito HistoriaCard ofrece **programa de recompensas, seguro de protección de compras, promociones exclusivas, asistencia en viajes**.
",¿Qué beneficios adicionales ofrece la tarjeta de crédito HistoriaCard?,"programa de recompensas, seguro de protección de compras, promociones exclusivas, asistencia en viajes",simple,"La tarjeta de crédito HistoriaCard ofrece beneficios como programa de recompensas, seguro de protección de compras, promociones exclusivas y asistencia en viajes.",0.0,0.0,0.941787949759048,0.0,0.0,0.0,0.8691093933646088,0.0
¿Qué tipo de soporte al cliente ofrece HistoriaCard?,"No puedo responder completamente a esta pregunta. 
","HistoriaCard ofrece soporte al cliente a través de chat en vivo 24/7, un centro de ayuda con base de conocimientos, un sistema de tickets para problemas complejos y llamadas de emergencia para situaciones urgentes. 
",¿Qué tipo de soporte al cliente ofrece HistoriaCard?,"chat en vivo 24/7, centro de ayuda, sistema de tickets, llamadas de emergencia",simple,"HistoriaCard ofrece chat en vivo 24/7, centro de ayuda, sistema de tickets y llamadas de emergencia.",0.0,0.0,0.6824718392818209,0.0,0.0,0.0,0.0,0.0
¿Qué tecnologías utiliza HistoriaCard para análisis de crédito personalizado?,"No puedo responder completamente a esta pregunta. 
","No puedo responder completamente a esta pregunta. 
",¿Qué tecnologías utiliza HistoriaCard para análisis de crédito personalizado?,"inteligencia artificial, IA",simple,HistoriaCard utiliza inteligencia artificial para análisis de crédito personalizado.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
¿Cuáles son las opciones de pago de la tarjeta de crédito HistoriaCard?,"No puedo responder completamente a esta pregunta. 
","No puedo responder completamente a esta pregunta. 
",¿Cuáles son las opciones de pago de la tarjeta de crédito HistoriaCard?,"pago mínimo, 5% del saldo, $200 MXN",simple,El pago mínimo mensual de la tarjeta de crédito HistoriaCard es el 5% del saldo o $200 MXN.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
